ticker,sector,is_etf,sector_etf
AAPL,tech,0,XLK
MSFT,tech,0,XLK
NVDA,semi,0,SOXX
META,tech,0,XLK
GOOGL,tech,0,XLK
AMZN,tech,0,XLK
AMD,semi,0,SOXX
AVGO,semi,0,SOXX
MU,semi,0,SOXX
TSM,semi,0,SOXX
ASML,semi,0,SOXX
ARM,semi,0,SOXX
QCOM,semi,0,SOXX
MRVL,semi,0,SOXX
ON,semi,0,SOXX
SMCI,semi,0,SOXX
PLTR,ai_software,0,XLK
SNOW,ai_software,0,XLK
DDOG,ai_software,0,XLK
NET,ai_software,0,XLK
CRWD,ai_software,0,XLK
MDB,ai_software,0,XLK
NOW,ai_software,0,XLK
CRM,ai_software,0,XLK
COIN,crypto_proxy,0,XLF
MSTR,crypto_proxy,0,XLF
HOOD,crypto_proxy,0,XLF
MARA,crypto_proxy,0,XLF
RIOT,crypto_proxy,0,XLF
CLSK,crypto_proxy,0,XLF
RKLB,space_defense,0,ITA
LMT,space_defense,0,ITA
NOC,space_defense,0,ITA
RTX,space_defense,0,ITA
AVAV,space_defense,0,ITA
KTOS,space_defense,0,ITA
UUUU,uranium_energy,0,XLE
CCJ,uranium_energy,0,XLE
DNN,uranium_energy,0,XLE
URA,uranium_energy,1,XLE
XLE,energy,1,
SPY,broad,1,
QQQ,broad,1,
IWM,broad,1,
XLK,tech,1,
SOXX,semi,1,
XLF,finance,1,
XLI,industrial,1,
ARKK,thematic,1,
BOTZ,thematic,1,
ITA,defense,1,
TSLA,ev_auto,0,XLK
ORCL,tech,0,XLK
ADBE,tech,0,XLK
INTC,semi,0,SOXX
TXN,semi,0,SOXX
AMAT,semi,0,SOXX
LRCX,semi,0,SOXX
KLAC,semi,0,SOXX
PANW,cybersecurity,0,XLK
ZS,cybersecurity,0,XLK
FTNT,cybersecurity,0,XLK
S,cybersecurity,0,XLK
ABNB,consumer,0,XLY
UBER,consumer,0,XLY
LYFT,consumer,0,XLY
SHOP,ecommerce,0,XLK
MELI,ecommerce,0,XLK
SQ,fintech,0,XLF
PYPL,fintech,0,XLF
V,finance,0,XLF
MA,finance,0,XLF
JPM,finance,0,XLF
BAC,finance,0,XLF
GS,finance,0,XLF
XOM,energy,0,XLE
CVX,energy,0,XLE
NEE,utilities,0,XLU
LIN,materials,0,XLB
APD,materials,0,XLB
CF,materials,0,XLB
DE,industrial,0,XLI
CAT,industrial,0,XLI
UNH,healthcare,0,XLV
LLY,healthcare,0,XLV
ABBV,healthcare,0,XLV
