snapshot_date,total_value_pln,cash_pln,invested_pln,open_positions,exposure_pct
2020-01-01,1000000.0,1000000.0,0.0,0,0.0
2020-01-02,1000000.0,1000000.0,0.0,0,0.0
2020-01-03,999775.0,849775.01,149999.99,5,15.003374759320845
2020-01-06,999057.13,759084.13,239973.0,8,24.019947688076655
2020-01-07,998742.43,548967.47,449774.96,15,45.03412957032375
2020-01-08,1001647.32,551903.35,449743.97,15,44.900431620982125
2020-01-09,1001467.03,431525.39,569941.64,19,56.910674333432624
2020-01-10,1003034.23,432976.3,570057.93,19,56.83334755185774
2020-01-13,1002943.96,372703.98,630239.98,21,62.839002490228864
2020-01-14,1009483.88,379207.71,630276.17,21,62.4354863398116
2020-01-15,1009347.6,288217.85,721129.75,24,71.44513446111131
2020-01-16,1007246.7,316401.46,690845.24,23,68.58749102876187
2020-01-17,1015768.7,414677.77,601090.93,20,59.175964961314534
2020-01-20,1015768.7,414677.77,601090.93,20,59.175964961314534
2020-01-21,1015867.34,442924.05,572943.29,19,56.39942022351069
2020-01-22,1023701.74,570383.66,453318.08,15,44.282241817816974
2020-01-23,1021851.56,597599.07,424252.49,14,41.51801559122736
2020-01-24,1023247.43,689566.83,333680.6,11,32.60996218676063
2020-01-27,1016639.4,924757.92,91881.47,3,9.037764029212324
2020-01-28,1016319.16,710943.39,305375.76,10,30.04723043891055
2020-01-29,1015514.29,374753.19,640761.09,21,63.09720072969135
2020-01-30,1018059.44,408033.52,610025.93,20,59.92046299379141
2020-01-31,1012030.52,371471.47,640559.04,21,63.29443898589145
2020-02-03,1007933.49,398080.67,609852.82,20,60.505264092375775
2020-02-04,1010842.37,371012.74,639829.63,21,63.29667700810761
2020-02-05,1009779.59,309515.93,700263.67,23,69.34817032695226
2020-02-06,1009688.71,248838.26,760850.45,25,75.35495271607027
2020-02-07,1007799.51,277482.83,730316.67,24,72.46646408867574
2020-02-10,1008811.92,339526.61,669285.31,22,66.3439137396394
2020-02-11,1012528.31,404711.06,607817.25,20,60.029654874538764
2020-02-12,1024497.23,538783.28,485713.95,16,47.409981772229884
2020-02-13,1024358.92,446440.23,577918.69,19,56.41759726170979
2020-02-14,1027976.05,479754.7,548221.35,18,53.330167565674316
2020-02-17,1027976.05,479754.7,548221.35,18,53.330167565674316
2020-02-18,1029533.59,541925.52,487608.06,16,47.36203507454284
2020-02-19,1033943.96,606765.15,427178.81,14,41.315470327811575
