max_sl,tp_pct,trailing,be_trigger,total_trades,total_return_pct,cagr,profit_factor,win_rate,max_drawdown_pct,sharpe,avg_holding,avg_profit_capture_ratio
0.05,0.08,0.02,0.03,0,0.0,0.0,0,0,0.0,0.0,0,0
0.05,0.08,0.02,0.04,0,0.0,0.0,0,0,0.0,0.0,0,0
0.05,0.08,0.02,0.05,0,0.0,0.0,0,0,0.0,0.0,0,0
0.05,0.08,0.03,0.03,0,0.0,0.0,0,0,0.0,0.0,0,0
0.05,0.08,0.03,0.04,0,0.0,0.0,0,0,0.0,0.0,0,0
0.05,0.08,0.03,0.05,0,0.0,0.0,0,0,0.0,0.0,0,0
0.05,0.08,0.04,0.03,0,0.0,0.0,0,0,0.0,0.0,0,0
0.05,0.08,0.04,0.04,0,0.0,0.0,0,0,0.0,0.0,0,0
0.05,0.08,0.04,0.05,0,0.0,0.0,0,0,0.0,0.0,0,0
0.05,0.1,0.02,0.03,0,0.0,0.0,0,0,0.0,0.0,0,0
0.05,0.1,0.02,0.04,0,0.0,0.0,0,0,0.0,0.0,0,0
0.05,0.1,0.02,0.05,0,0.0,0.0,0,0,0.0,0.0,0,0
0.05,0.1,0.03,0.03,0,0.0,0.0,0,0,0.0,0.0,0,0
0.05,0.1,0.03,0.04,0,0.0,0.0,0,0,0.0,0.0,0,0
0.05,0.1,0.03,0.05,0,0.0,0.0,0,0,0.0,0.0,0,0
0.05,0.1,0.04,0.03,0,0.0,0.0,0,0,0.0,0.0,0,0
0.05,0.1,0.04,0.04,0,0.0,0.0,0,0,0.0,0.0,0,0
0.05,0.1,0.04,0.05,0,0.0,0.0,0,0,0.0,0.0,0,0
0.05,0.12,0.02,0.03,0,0.0,0.0,0,0,0.0,0.0,0,0
0.05,0.12,0.02,0.04,0,0.0,0.0,0,0,0.0,0.0,0,0
0.05,0.12,0.02,0.05,0,0.0,0.0,0,0,0.0,0.0,0,0
0.05,0.12,0.03,0.03,0,0.0,0.0,0,0,0.0,0.0,0,0
0.05,0.12,0.03,0.04,0,0.0,0.0,0,0,0.0,0.0,0,0
0.05,0.12,0.03,0.05,0,0.0,0.0,0,0,0.0,0.0,0,0
0.05,0.12,0.04,0.03,0,0.0,0.0,0,0,0.0,0.0,0,0
0.05,0.12,0.04,0.04,0,0.0,0.0,0,0,0.0,0.0,0,0
0.05,0.12,0.04,0.05,0,0.0,0.0,0,0,0.0,0.0,0,0
0.06,0.08,0.02,0.03,0,0.0,0.0,0,0,0.0,0.0,0,0
0.06,0.08,0.02,0.04,0,0.0,0.0,0,0,0.0,0.0,0,0
0.06,0.08,0.02,0.05,0,0.0,0.0,0,0,0.0,0.0,0,0
0.06,0.08,0.03,0.03,0,0.0,0.0,0,0,0.0,0.0,0,0
0.06,0.08,0.03,0.04,0,0.0,0.0,0,0,0.0,0.0,0,0
0.06,0.08,0.03,0.05,0,0.0,0.0,0,0,0.0,0.0,0,0
0.06,0.08,0.04,0.03,0,0.0,0.0,0,0,0.0,0.0,0,0
0.06,0.08,0.04,0.04,0,0.0,0.0,0,0,0.0,0.0,0,0
0.06,0.08,0.04,0.05,0,0.0,0.0,0,0,0.0,0.0,0,0
0.06,0.1,0.02,0.03,0,0.0,0.0,0,0,0.0,0.0,0,0
0.06,0.1,0.02,0.04,0,0.0,0.0,0,0,0.0,0.0,0,0
0.06,0.1,0.02,0.05,0,0.0,0.0,0,0,0.0,0.0,0,0
0.06,0.1,0.03,0.03,0,0.0,0.0,0,0,0.0,0.0,0,0
0.06,0.1,0.03,0.04,0,0.0,0.0,0,0,0.0,0.0,0,0
0.06,0.1,0.03,0.05,0,0.0,0.0,0,0,0.0,0.0,0,0
0.06,0.1,0.04,0.03,0,0.0,0.0,0,0,0.0,0.0,0,0
0.06,0.1,0.04,0.04,0,0.0,0.0,0,0,0.0,0.0,0,0
0.06,0.1,0.04,0.05,0,0.0,0.0,0,0,0.0,0.0,0,0
0.06,0.12,0.02,0.03,0,0.0,0.0,0,0,0.0,0.0,0,0
0.06,0.12,0.02,0.04,0,0.0,0.0,0,0,0.0,0.0,0,0
0.06,0.12,0.02,0.05,0,0.0,0.0,0,0,0.0,0.0,0,0
0.06,0.12,0.03,0.03,0,0.0,0.0,0,0,0.0,0.0,0,0
0.06,0.12,0.03,0.04,0,0.0,0.0,0,0,0.0,0.0,0,0
0.06,0.12,0.03,0.05,0,0.0,0.0,0,0,0.0,0.0,0,0
0.06,0.12,0.04,0.03,0,0.0,0.0,0,0,0.0,0.0,0,0
0.06,0.12,0.04,0.04,0,0.0,0.0,0,0,0.0,0.0,0,0
0.06,0.12,0.04,0.05,0,0.0,0.0,0,0,0.0,0.0,0,0
0.07,0.08,0.02,0.03,0,0.0,0.0,0,0,0.0,0.0,0,0
0.07,0.08,0.02,0.04,0,0.0,0.0,0,0,0.0,0.0,0,0
0.07,0.08,0.02,0.05,0,0.0,0.0,0,0,0.0,0.0,0,0
0.07,0.08,0.03,0.03,0,0.0,0.0,0,0,0.0,0.0,0,0
0.07,0.08,0.03,0.04,0,0.0,0.0,0,0,0.0,0.0,0,0
0.07,0.08,0.03,0.05,0,0.0,0.0,0,0,0.0,0.0,0,0
0.07,0.08,0.04,0.03,0,0.0,0.0,0,0,0.0,0.0,0,0
0.07,0.08,0.04,0.04,0,0.0,0.0,0,0,0.0,0.0,0,0
0.07,0.08,0.04,0.05,0,0.0,0.0,0,0,0.0,0.0,0,0
0.07,0.1,0.02,0.03,0,0.0,0.0,0,0,0.0,0.0,0,0
0.07,0.1,0.02,0.04,0,0.0,0.0,0,0,0.0,0.0,0,0
0.07,0.1,0.02,0.05,0,0.0,0.0,0,0,0.0,0.0,0,0
0.07,0.1,0.03,0.03,0,0.0,0.0,0,0,0.0,0.0,0,0
0.07,0.1,0.03,0.04,0,0.0,0.0,0,0,0.0,0.0,0,0
0.07,0.1,0.03,0.05,0,0.0,0.0,0,0,0.0,0.0,0,0
0.07,0.1,0.04,0.03,0,0.0,0.0,0,0,0.0,0.0,0,0
0.07,0.1,0.04,0.04,0,0.0,0.0,0,0,0.0,0.0,0,0
0.07,0.1,0.04,0.05,0,0.0,0.0,0,0,0.0,0.0,0,0
0.07,0.12,0.02,0.03,0,0.0,0.0,0,0,0.0,0.0,0,0
0.07,0.12,0.02,0.04,0,0.0,0.0,0,0,0.0,0.0,0,0
0.07,0.12,0.02,0.05,0,0.0,0.0,0,0,0.0,0.0,0,0
0.07,0.12,0.03,0.03,0,0.0,0.0,0,0,0.0,0.0,0,0
0.07,0.12,0.03,0.04,0,0.0,0.0,0,0,0.0,0.0,0,0
0.07,0.12,0.03,0.05,0,0.0,0.0,0,0,0.0,0.0,0,0
0.07,0.12,0.04,0.03,0,0.0,0.0,0,0,0.0,0.0,0,0
0.07,0.12,0.04,0.04,0,0.0,0.0,0,0,0.0,0.0,0,0
0.07,0.12,0.04,0.05,0,0.0,0.0,0,0,0.0,0.0,0,0
